generation,fitness,accuracy,mse,hidden_cells,edges
80.0,0.4569105038263432,1.0,0.0010894961736568113,12.0,116.0
81.0,0.458028906235559,1.0,0.00027109376444102044,12.0,115.0
82.0,0.4580613628965561,1.0,0.00023863710344390653,12.0,115.0
83.0,0.45817633968258314,1.0,0.002823660317416885,11.0,108.0
84.0,0.461385516914029,1.0,0.00021448308597101466,11.0,106.0
85.0,0.46138671961832206,1.0,0.00021328038167795735,11.0,106.0
86.0,0.4617484632054527,1.0,0.0001515367945472686,11.0,105.0
87.0,0.46212455479694875,1.0,0.0021754452030512206,10.0,99.0
88.0,0.465604641463756,1.0,0.0028953585362439605,9.0,87.0
89.0,0.4669559471899346,1.0,0.00154405281006537,9.0,87.0
90.0,0.4669559471899346,1.0,0.00154405281006537,9.0,87.0
91.0,0.46708774711006984,1.0,0.0014122528899301332,9.0,87.0
92.0,0.46708774711006984,1.0,0.0014122528899301332,9.0,87.0
93.0,0.46779880433210863,1.0,0.00040119566789139423,9.0,88.0
94.0,0.46816102120199027,1.0,0.0006389787980097171,9.0,86.0
95.0,0.46816102120199027,1.0,0.0006389787980097171,9.0,86.0
96.0,0.46833539971255556,1.0,0.0004646002874444603,9.0,86.0
97.0,0.4684905818916859,1.0,9.418108314055506e-06,9.0,87.0
98.0,0.4686720980780391,1.0,0.0001279019219608674,9.0,86.0
99.0,0.4687691162910754,1.0,3.088370892457978e-05,9.0,86.0
100.0,0.4687691162910754,1.0,3.088370892457978e-05,9.0,86.0
101.0,0.4688920450225522,1.0,0.00020795497744780772,9.0,85.0
102.0,0.469074729109937,1.0,2.527089006296608e-05,9.0,85.0
103.0,0.46936251428993336,1.0,3.748571006663009e-05,9.0,84.0
104.0,0.4693625807337256,1.0,3.741926627438667e-05,9.0,84.0
105.0,0.46958924331331253,1.0,0.00011075668668749556,9.0,83.0
106.0,0.46963498426279765,1.0,6.501573720236641e-05,9.0,83.0
107.0,0.4696611358946121,1.0,3.8864105387906876e-05,9.0,83.0
108.0,0.4696839711333168,1.0,1.6028866683213643e-05,9.0,83.0
109.0,0.4698342174444729,1.0,0.00016578255552713648,9.0,82.0
110.0,0.46996444449614233,1.0,3.555550385771722e-05,9.0,82.0
111.0,0.46997857265469584,1.0,2.1427345304217592e-05,9.0,82.0
112.0,0.47029350334975034,1.0,6.496650249637995e-06,9.0,81.0
113.0,0.47029527921123,1.0,4.720788770012074e-06,9.0,81.0
114.0,0.4705213400595447,1.0,7.865994045531643e-05,9.0,80.0
115.0,0.4705964860520538,1.0,3.5139479462230534e-06,9.0,80.0
116.0,0.47417830250518334,1.0,2.169749481667124e-05,8.0,70.0
117.0,0.47417830250518334,1.0,2.169749481667124e-05,8.0,70.0
118.0,0.4744446617742057,1.0,5.5338225794308494e-05,8.0,69.0
119.0,0.47568931490893257,1.0,1.068509106743046e-05,8.0,65.0
120.0,0.4777933063455416,1.0,6.693654458361448e-06,7.0,60.0
121.0,0.4780839504907099,1.0,1.60495092901513e-05,7.0,59.0
122.0,0.4783963961326015,1.0,3.603867398487996e-06,7.0,58.0
