id,number,suffix,provenance,file_count,artifact_types
V447,447,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V448,448,,RESULT_ARTIFACT_PRESERVED,7,FIGURE
V448B,448,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V448C,448,C,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V448D,448,D,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V448E,448,E,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V448F,448,F,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V448G,448,G,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V449,449,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V449A,449,A,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V449B,449,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V450,450,,RESULT_ARTIFACT_PRESERVED,3,FIGURE
V450B,450,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V450C,450,C,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V451,451,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V452,452,,RESULT_ARTIFACT_PRESERVED,4,FIGURE
V452B,452,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V452C,452,C,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V452D,452,D,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V453,453,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V454,454,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V455,455,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V456,456,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V456B,456,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V457,457,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V458,458,,RESULT_ARTIFACT_PRESERVED,3,FIGURE
V458B,458,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V458C,458,C,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V459,459,,RESULT_ARTIFACT_PRESERVED,3,FIGURE
V459B,459,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V459C,459,C,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V460,460,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V461,461,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V462,462,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V463,463,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V464,464,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V465,465,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V466,466,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V467,467,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V468,468,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V469,469,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V470,470,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V471,471,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V472,472,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
